state,county,year,NonCrop,GM,Tolerant,Vulnerable,Unclassified,total
West Virginia,Wyoming,2017,0,0,3,1810,4132,5945
Indiana,Wabash,2014,61,385426,396507,15133,84810,881937
Georgia,Jones,2018,161,710,350,22618,49298,73137
Virginia,Northumberland,2012,1647,73107,68115,2065,62855,207789
Nebraska,Saline,2017,72,525857,644103,32005,102168,1304205
North Carolina,Vance,2016,9248,51771,16517,36508,70125,184169
Illinois,Lawrence,2016,406,383229,312332,5931,71955,773853
Kentucky,Montgomery,2017,0,8582,3230,61173,160329,233314
Pennsylvania,Clinton,2014,918,14094,43728,35271,104957,198968
Kansas,Pratt,2011,72276,141031,1104475,21970,145708,1485460
Missouri,Vernon,2009,3228,345990,215167,146899,490965,1202249
Arkansas,Poinsett,2018,33765,1000410,634320,35185,65681,1769361
Virginia,Northumberland,2013,807,79887,58868,9009,59218,207789
Indiana,Wabash,2015,18212,397495,372146,16815,77269,881937
North Carolina,Vance,2017,5400,47228,9409,51622,70510,184169
West Virginia,Wyoming,2018,2,1,29,1621,4292,5945
Illinois,Lawrence,2017,546,327522,362743,12671,70371,773853
Kentucky,Montgomery,2018,8,8980,3896,60502,159928,233314
Nebraska,Saline,2018,23,541367,636279,34585,91951,1304205
Massachusetts,Franklin,2018,12526,62,24138,110338,64487,211551
Texas,Palo Pinto,2018,3468,453,77517,4576,273568,359582
Virginia,Northumberland,2014,735,79651,65865,8155,53383,207789
Indiana,Wabash,2016,16,417124,373928,17967,72902,881937
Kansas,Pratt,2012,68875,134344,1110276,23006,148959,1485460
North Carolina,Vance,2018,9774,47710,10325,48527,67833,184169
Illinois,Lawrence,2018,38,404262,298337,3233,67983,773853
Virginia,Northumberland,2015,93,91050,57435,10564,48647,207789
Missouri,Vernon,2010,21,282825,210095,174,709134,1202249
Pennsylvania,Clinton,2015,1423,17697,56940,50710,72198,198968
Indiana,Wabash,2017,515,444810,343776,22297,70539,881937
Kansas,Pratt,2013,54807,80186,1203133,24276,123058,1485460
Virginia,Northumberland,2016,88,89213,64112,7062,47314,207789
Texas,Titus,2009,4586,4665,7777,15236,67047,99311
Indiana,Wabash,2018,210,446633,344376,23157,67561,881937
Virginia,Northumberland,2017,9,82733,68718,8572,47757,207789
Texas,Titus,2010,1616,3494,758,23,93420,99311
Missouri,Vernon,2011,85,309564,238453,1236,652911,1202249
Kansas,Pratt,2014,53913,111982,1041216,17649,260700,1485460
Virginia,Northumberland,2018,16,83669,67906,9596,46602,207789
Texas,Titus,2011,2222,1600,4467,4,91018,99311
Pennsylvania,Clinton,2016,1008,21599,51346,46691,78324,198968
Alabama,Clarke,2009,2622,5184,1927,12295,64742,86770
Georgia,Lanier,2009,36162,40034,5133,26135,43030,150494
South Dakota,Beadle,2009,49319,726898,900625,177120,1448757,3302719
Ohio,Williams,2009,3684,380410,316990,20483,146790,868357
Texas,Titus,2012,741,730,2468,1,95371,99311
Georgia,Lanier,2010,10679,36133,4555,17116,82011,150494
Kansas,Pratt,2015,54927,93441,1206930,20746,109416,1485460
Missouri,Vernon,2012,147,348591,237014,135808,480689,1202249
Minnesota,Nobles,2009,30,776640,907882,18739,109794,1813085
Indiana,Ohio,2009,74,9401,9609,1019,14487,34590
Georgia,Lanier,2011,16508,47669,5002,15714,65601,150494
Ohio,Williams,2010,485,369769,270443,15768,211892,868357
Texas,Titus,2013,823,222,2333,16866,79067,99311
Indiana,Ohio,2010,1,7505,7311,206,19567,34590
Indiana,Ohio,2011,14,8378,8485,89,17624,34590
Georgia,Lanier,2012,15327,38945,2707,26916,66599,150494
Indiana,Ohio,2012,0,9060,10876,953,13701,34590
Indiana,Ohio,2013,3,8881,9301,836,15569,34590
Kansas,Pratt,2016,83939,85521,1183262,29535,103203,1485460
Texas,Titus,2014,147,343,1127,12167,85527,99311
Minnesota,Nobles,2010,8,837376,878954,15225,81522,1813085
Missouri,Vernon,2013,1129,393261,185392,140786,481681,1202249
Indiana,Ohio,2014,0,10214,8970,896,14510,34590
Ohio,Williams,2011,116,320654,356892,14795,175900,868357
Georgia,Lanier,2013,21057,46722,4543,19781,58391,150494
Kentucky,Pendleton,2009,3,2806,4023,33952,121581,162365
Indiana,Ohio,2015,45,11653,9619,2054,11219,34590
South Dakota,Beadle,2010,2578,683113,827034,507099,1282895,3302719
Indiana,Ohio,2016,140,13163,7732,1151,12404,34590
Pennsylvania,Clinton,2017,838,16419,60615,53586,67510,198968
Indiana,Ohio,2017,472,13680,7971,1678,10789,34590
Georgia,Lanier,2014,10849,45049,4620,23379,66597,150494
Texas,Titus,2015,1503,1080,3639,13494,79595,99311
Kentucky,Pendleton,2010,5,2285,2619,43290,114166,162365
Kansas,Pratt,2017,83035,244205,1027581,27011,103628,1485460
Indiana,Ohio,2018,2,12623,9369,1910,10686,34590
Ohio,Williams,2012,212,342552,308415,16761,200417,868357
Minnesota,Nobles,2011,21,733673,947011,22732,109648,1813085
West Virginia,Wetzel,2009,4,3,77,1982,23244,25310
Georgia,Lanier,2015,10439,37679,10166,42031,50179,150494
Texas,Titus,2016,2171,939,1794,6780,87627,99311
Missouri,Vernon,2014,339,370259,247790,140298,443563,1202249
Alabama,Clarke,2010,1955,8450,1649,16731,57985,86770
Kentucky,Pendleton,2011,0,4257,1831,565,155712,162365
North Carolina,Stokes,2009,4245,11222,12646,13861,218295,260269
Georgia,Lanier,2016,17718,39699,7020,32907,53150,150494
Ohio,Williams,2013,229,330923,339408,15507,182290,868357
West Virginia,Wetzel,2010,1,3,130,11585,13591,25310
Minnesota,Nobles,2012,7,751590,933304,18825,109359,1813085
Kansas,Pratt,2018,45286,255956,1063658,28889,91671,1485460
Texas,Titus,2017,17,796,850,16319,81329,99311
North Carolina,Stokes,2010,30721,20308,28407,59570,121263,260269
South Dakota,Beadle,2011,14611,755667,989030,1030119,513292,3302719
Kentucky,Pendleton,2012,0,3253,4356,175,154581,162365
Georgia,Lanier,2017,50,45377,3868,53524,47675,150494
West Virginia,Wetzel,2011,3,1,23,9380,15903,25310
Ohio,Williams,2014,82,377592,321925,16671,152087,868357
Texas,Titus,2018,182,3324,6578,16080,73147,99311
Missouri,Vernon,2015,68833,266412,300736,149629,416639,1202249
Georgia,Lanier,2018,2,53392,3074,50068,43958,150494
Kentucky,Pendleton,2013,0,3988,3518,15356,139503,162365
Minnesota,Nobles,2013,27,726614,962433,15425,108586,1813085
West Virginia,Wetzel,2012,0,0,84,5564,19662,25310
North Carolina,Stokes,2011,28319,18157,16252,63421,134120,260269
Ohio,Williams,2015,43026,390290,305127,23486,106428,868357
Pennsylvania,Clinton,2018,453,16581,68181,49988,63765,198968
West Virginia,Wetzel,2013,0,0,6,2399,22905,25310
Kentucky,Pendleton,2014,0,5093,2072,15265,139935,162365
Virginia,Prince Edward,2009,1366,4992,8870,106230,104220,225678
South Dakota,Beadle,2012,5609,791732,1129084,954454,421840,3302719
Minnesota,Nobles,2014,2,779766,915537,17585,100195,1813085
West Virginia,Wetzel,2014,3,0,17,3373,21917,25310
Ohio,Williams,2016,811,402674,328258,27184,109430,868357
North Carolina,Stokes,2012,26360,11447,18820,117955,85687,260269
Kentucky,Pendleton,2015,10,8900,1525,62447,89483,162365
Missouri,Vernon,2016,821,362238,302330,153286,383574,1202249
Alabama,Clarke,2011,4284,7017,3749,11127,60593,86770
Virginia,Prince Edward,2010,522,6623,6546,87698,124289,225678
West Virginia,Wetzel,2015,4,0,76,10284,14946,25310
Ohio,Williams,2017,3423,439376,297111,20001,108446,868357
Minnesota,Nobles,2015,218,771809,934734,23058,83266,1813085
North Carolina,Stokes,2013,31233,13336,23192,103133,89375,260269
Kentucky,Pendleton,2016,6,7114,2592,59812,92841,162365
